graph,precision,recall,F1,inf,pos_in_window,hidden_pos
7YR6,0.625,1.000,0.769,0.791,5,0
7YR7,0.423,1.000,0.595,0.650,11,0
7ZJ4,0.250,1.000,0.400,0.500,33,0
8BTZ,0.500,1.000,0.667,0.707,6,0
8FZA,0.171,1.000,0.291,0.413,22,0
8S95,0.347,0.944,0.507,0.572,18,0
8TVZ,0.220,1.000,0.360,0.469,27,0
8UO6,0.222,0.933,0.359,0.455,28,2
8UYE,0.400,1.000,0.571,0.632,10,0
8UYG,0.300,1.000,0.462,0.548,9,0
8UYJ,0.545,1.000,0.706,0.739,6,0
8UYS,0.218,1.000,0.358,0.467,17,0
9B0L,0.333,0.500,0.400,0.408,2,2
9BZ1,0.289,0.929,0.441,0.518,13,1
9BZC,0.353,1.000,0.522,0.594,6,0
GLOBAL,0.259,0.972,0.410,0.502,-,-
