graph,accuracy,precision,recall,F1,inf,pos,neg
8UYJ,0.999,0.462,1.000,0.632,0.679,6,9039
8UYE,0.998,0.312,1.000,0.476,0.559,10,9035
8UO6,0.993,0.111,1.000,0.200,0.333,30,35748
8UYG,0.997,0.265,1.000,0.419,0.514,9,9036
7YR6,0.999,0.455,1.000,0.625,0.674,5,6898
8BTZ,0.999,0.167,1.000,0.286,0.408,6,28197
8TVZ,0.997,0.105,1.000,0.191,0.325,27,65676
7YR7,0.997,0.324,1.000,0.489,0.569,11,6892
8UYS,0.991,0.191,1.000,0.321,0.437,17,7609
9B0L,0.999,0.500,1.000,0.667,0.707,4,6782
8FZA,0.920,0.142,1.000,0.249,0.377,22,1631
8S95,0.994,0.221,0.944,0.358,0.457,18,10567
9BZ1,0.995,0.157,1.000,0.272,0.397,14,14014
7ZJ4,0.996,0.111,1.000,0.201,0.334,33,69718
9BZC,0.997,0.353,1.000,0.522,0.594,6,3735
GLOBAL,0.991,0.258,0.996,0.394,0.491,-,-
